Date,Open,High,Low,Close,Adj Close,Volume
2019-04-19,336.000000,336.000000,336.000000,336.000000,333.899994,0
2019-04-22,336.000000,340.000000,334.000000,334.000000,331.912506,543500
2019-04-23,338.000000,342.000000,332.000000,338.000000,335.887482,2153000
2019-04-24,342.000000,342.000000,336.000000,338.000000,335.887482,796100
2019-04-25,336.000000,336.000000,330.000000,332.000000,329.924988,1234000
2019-04-26,330.000000,338.000000,330.000000,336.000000,333.899994,814600
2019-04-29,334.000000,344.000000,334.000000,336.000000,333.899994,965400
2019-04-30,336.000000,342.000000,332.000000,332.000000,329.924988,478500
2019-05-01,332.000000,332.000000,332.000000,332.000000,329.924988,0
2019-05-02,332.000000,338.000000,330.000000,334.000000,331.912506,991600
2019-05-03,336.000000,336.000000,330.000000,334.000000,331.912506,6146500
2019-05-06,334.000000,334.000000,328.000000,328.000000,325.949982,5758800
2019-05-07,330.000000,334.000000,328.000000,328.000000,325.949982,2015900
2019-05-08,330.000000,330.000000,322.000000,324.000000,321.975006,226000
2019-05-09,324.000000,332.000000,320.000000,324.000000,321.975006,1514100
2019-05-10,324.000000,330.000000,316.000000,324.000000,321.975006,1985300
2019-05-13,324.000000,324.000000,316.000000,316.000000,314.024994,457100
2019-05-14,316.000000,324.000000,312.000000,324.000000,321.975006,51400
2019-05-15,326.000000,326.000000,314.000000,314.000000,312.037506,219100
2019-05-16,310.000000,324.000000,310.000000,314.000000,312.037506,452100
2019-05-17,312.000000,324.000000,308.000000,324.000000,321.975006,1416500
2019-05-20,324.000000,324.000000,314.000000,322.000000,319.987488,222600
2019-05-21,322.000000,324.000000,318.000000,318.000000,316.012482,64200
2019-05-22,318.000000,324.000000,316.000000,324.000000,321.975006,256200
2019-05-23,320.000000,324.000000,320.000000,320.000000,318.000000,14500
2019-05-24,318.000000,322.000000,318.000000,322.000000,322.000000,27500
2019-05-27,320.000000,324.000000,310.000000,320.000000,320.000000,562300
2019-05-28,320.000000,322.000000,312.000000,320.000000,320.000000,89500
2019-05-29,320.000000,326.000000,320.000000,324.000000,324.000000,4400
2019-05-30,324.000000,324.000000,324.000000,324.000000,324.000000,0
2019-05-31,324.000000,326.000000,318.000000,326.000000,326.000000,117600
2019-06-03,326.000000,326.000000,326.000000,326.000000,326.000000,0
2019-06-04,326.000000,326.000000,326.000000,326.000000,326.000000,0
2019-06-05,326.000000,326.000000,326.000000,326.000000,326.000000,0
2019-06-06,326.000000,326.000000,326.000000,326.000000,326.000000,0
2019-06-07,326.000000,326.000000,326.000000,326.000000,326.000000,0
2019-06-10,324.000000,328.000000,322.000000,326.000000,326.000000,534900
2019-06-11,326.000000,326.000000,320.000000,326.000000,326.000000,323200
2019-06-12,326.000000,328.000000,310.000000,316.000000,316.000000,846600
2019-06-13,316.000000,316.000000,314.000000,314.000000,314.000000,229800
2019-06-14,318.000000,318.000000,314.000000,316.000000,316.000000,2215600
2019-06-17,320.000000,330.000000,320.000000,324.000000,324.000000,6080000
2019-06-18,330.000000,354.000000,322.000000,352.000000,352.000000,10497100
2019-06-19,null,null,null,null,null,null
2019-06-20,400.000000,420.000000,400.000000,416.000000,416.000000,36653800
2019-06-21,420.000000,420.000000,414.000000,416.000000,416.000000,34659400
2019-06-24,416.000000,422.000000,412.000000,420.000000,420.000000,33004100
2019-06-25,420.000000,426.000000,416.000000,420.000000,420.000000,16566000
2019-06-26,420.000000,422.000000,402.000000,416.000000,416.000000,7442700
2019-06-27,412.000000,414.000000,404.000000,406.000000,406.000000,1482500
2019-06-28,410.000000,410.000000,384.000000,384.000000,384.000000,3418400
2019-07-01,396.000000,410.000000,386.000000,396.000000,396.000000,17561200
2019-07-02,398.000000,400.000000,390.000000,398.000000,398.000000,13658400
2019-07-03,398.000000,402.000000,394.000000,396.000000,396.000000,6073200
2019-07-04,396.000000,400.000000,392.000000,398.000000,398.000000,5525400
2019-07-05,398.000000,402.000000,398.000000,400.000000,400.000000,7621400
2019-07-08,402.000000,418.000000,394.000000,408.000000,408.000000,26982000
2019-07-09,408.000000,410.000000,396.000000,398.000000,398.000000,6374600
2019-07-10,402.000000,408.000000,398.000000,400.000000,400.000000,6231000
2019-07-11,400.000000,412.000000,400.000000,404.000000,404.000000,11077000
2019-07-12,406.000000,438.000000,406.000000,434.000000,434.000000,41708500
2019-07-15,438.000000,448.000000,436.000000,448.000000,448.000000,154766300
2019-07-16,450.000000,450.000000,428.000000,438.000000,438.000000,9704400
2019-07-17,436.000000,438.000000,422.000000,438.000000,438.000000,7446300
2019-07-18,438.000000,438.000000,410.000000,422.000000,422.000000,9794100
2019-07-19,422.000000,444.000000,422.000000,444.000000,444.000000,7693800
2019-07-22,446.000000,446.000000,428.000000,436.000000,436.000000,2767600
2019-07-23,436.000000,436.000000,428.000000,434.000000,434.000000,821700
2019-07-24,436.000000,448.000000,434.000000,440.000000,440.000000,20639500
2019-07-25,442.000000,446.000000,430.000000,440.000000,440.000000,1257400
2019-07-26,430.000000,442.000000,430.000000,438.000000,438.000000,1716700
2019-07-29,438.000000,442.000000,430.000000,442.000000,442.000000,2357700
2019-07-30,460.000000,466.000000,442.000000,452.000000,452.000000,29894700
2019-07-31,452.000000,454.000000,410.000000,442.000000,442.000000,8736900
2019-08-01,430.000000,452.000000,430.000000,442.000000,442.000000,3959600
2019-08-02,440.000000,442.000000,426.000000,436.000000,436.000000,3662100
2019-08-05,436.000000,446.000000,412.000000,412.000000,412.000000,3357900
2019-08-06,412.000000,418.000000,396.000000,418.000000,418.000000,34692500
2019-08-07,418.000000,420.000000,410.000000,420.000000,420.000000,45911700
2019-08-08,424.000000,426.000000,412.000000,426.000000,426.000000,2341600
2019-08-09,426.000000,430.000000,424.000000,426.000000,426.000000,4242000
2019-08-12,424.000000,426.000000,416.000000,424.000000,424.000000,1199000
2019-08-13,418.000000,418.000000,406.000000,414.000000,414.000000,7769200
2019-08-14,414.000000,426.000000,412.000000,418.000000,418.000000,8387300
2019-08-15,410.000000,414.000000,404.000000,414.000000,414.000000,5287100
2019-08-16,414.000000,418.000000,410.000000,416.000000,416.000000,1930100
2019-08-19,410.000000,418.000000,410.000000,414.000000,414.000000,942400
2019-08-20,420.000000,420.000000,412.000000,414.000000,414.000000,1119600
2019-08-21,416.000000,416.000000,404.000000,414.000000,414.000000,1180500
2019-08-22,426.000000,426.000000,406.000000,416.000000,416.000000,774600
2019-08-23,416.000000,418.000000,404.000000,414.000000,414.000000,1075500
2019-08-26,410.000000,412.000000,398.000000,412.000000,412.000000,2820200
2019-08-27,410.000000,416.000000,404.000000,416.000000,416.000000,653400
2019-08-28,418.000000,420.000000,406.000000,420.000000,420.000000,1288500
2019-08-29,424.000000,424.000000,410.000000,422.000000,422.000000,2353000
2019-08-30,412.000000,420.000000,410.000000,412.000000,412.000000,5665300
2019-09-02,414.000000,428.000000,414.000000,420.000000,420.000000,25769700
2019-09-03,420.000000,424.000000,418.000000,420.000000,420.000000,20637200
2019-09-04,420.000000,420.000000,408.000000,410.000000,410.000000,50410900
2019-09-05,412.000000,414.000000,410.000000,414.000000,414.000000,13117600
2019-09-06,416.000000,420.000000,414.000000,416.000000,416.000000,16858500
2019-09-09,416.000000,420.000000,416.000000,420.000000,420.000000,12229200
2019-09-10,420.000000,438.000000,418.000000,430.000000,430.000000,12463900
2019-09-11,432.000000,438.000000,428.000000,434.000000,434.000000,11985500
2019-09-12,434.000000,436.000000,424.000000,424.000000,424.000000,11777900
2019-09-13,424.000000,426.000000,420.000000,422.000000,422.000000,12320000
2019-09-16,422.000000,422.000000,410.000000,418.000000,418.000000,12735200
2019-09-17,416.000000,428.000000,414.000000,424.000000,424.000000,11934800
2019-09-18,424.000000,424.000000,418.000000,424.000000,424.000000,12502200
2019-09-19,424.000000,428.000000,420.000000,420.000000,420.000000,12056600
2019-09-20,420.000000,424.000000,418.000000,420.000000,420.000000,10039500
2019-09-23,422.000000,422.000000,398.000000,404.000000,404.000000,8411600
2019-09-24,402.000000,402.000000,392.000000,400.000000,400.000000,3034500
2019-09-25,396.000000,400.000000,394.000000,400.000000,400.000000,973900
2019-09-26,400.000000,414.000000,396.000000,406.000000,406.000000,7110000
2019-09-27,406.000000,406.000000,396.000000,400.000000,400.000000,4533300
2019-09-30,400.000000,400.000000,380.000000,398.000000,398.000000,3204300
2019-10-01,390.000000,400.000000,384.000000,400.000000,400.000000,2011600
2019-10-02,398.000000,400.000000,392.000000,396.000000,396.000000,562400
2019-10-03,390.000000,400.000000,390.000000,400.000000,400.000000,611100
2019-10-04,396.000000,396.000000,390.000000,394.000000,394.000000,779800
2019-10-07,394.000000,396.000000,386.000000,390.000000,390.000000,3024200
2019-10-08,388.000000,398.000000,384.000000,386.000000,386.000000,7111600
2019-10-09,390.000000,390.000000,382.000000,386.000000,386.000000,951500
2019-10-10,386.000000,386.000000,376.000000,386.000000,386.000000,1898500
2019-10-11,384.000000,384.000000,378.000000,380.000000,380.000000,1748400
2019-10-14,384.000000,384.000000,376.000000,376.000000,376.000000,1387700
2019-10-15,382.000000,382.000000,374.000000,380.000000,380.000000,8517100
2019-10-16,380.000000,380.000000,374.000000,376.000000,376.000000,1741300
2019-10-17,378.000000,380.000000,370.000000,374.000000,374.000000,2256700
