Date;Close_GJTL;Close_TLKM;Close_UNTR;Close_DILD;Close_UNVR
15/07/2019;760;4280;28025;448;8890
16/07/2019;750;4240;27800;438;8880
17/07/2019;755;4230;28000;438;8980
18/07/2019;740;4240;27275;422;9150
19/07/2019;740;4270;27275;444;9160
22/07/2019;735;4260;26600;436;9055
23/07/2019;740;4250;27000;434;9110
24/07/2019;735;4190;26975;440;9085
25/07/2019;735;4210;26950;440;8990
26/07/2019;680;4160;26525;438;8960
29/07/2019;680;4200;25575;442;8640
30/07/2019;685;4270;25500;452;8610
31/07/2019;690;4300;24925;442;8720
01/08/2019;700;4280;24450;442;9110
02/08/2019;690;4280;24575;436;9000
05/08/2019;675;4080;23875;412;8765
06/08/2019;670;4130;22750;418;8865
07/08/2019;665;4210;22800;420;8965
08/08/2019;675;4260;23200;426;8930
09/08/2019;690;4260;23175;426;8965
12/08/2019;685;4260;21700;424;8995
13/08/2019;680;4250;21225;414;8855
14/08/2019;680;4290;21575;418;8980
15/08/2019;675;4290;20750;414;8940
16/08/2019;675;4280;20500;416;8995
19/08/2019;675;4340;20700;414;8900
20/08/2019;675;4470;20550;414;9035
21/08/2019;670;4410;20025;414;8975
22/08/2019;670;4450;19975;416;9060
23/08/2019;680;4380;20500;414;9165
26/08/2019;670;4330;20125;412;9175
27/08/2019;670;4380;20700;416;9455
28/08/2019;675;4370;20900;420;9575
29/08/2019;675;4380;20675;422;9570
30/08/2019;680;4450;20925;412;9770
02/09/2019;685;4410;20600;420;9590
03/09/2019;680;4350;20400;420;9495
04/09/2019;685;4290;20450;410;9515
05/09/2019;685;4320;21025;414;9605
06/09/2019;680;4210;21575;416;9410
09/09/2019;685;4270;23300;420;9540
10/09/2019;680;4270;22950;430;9530
11/09/2019;680;4250;23500;434;9325
12/09/2019;680;4170;23050;424;9215
13/09/2019;675;4160;22775;422;9320
16/09/2019;660;4220;23075;418;9390
17/09/2019;640;4270;22850;424;9390
18/09/2019;650;4250;22525;424;9335
19/09/2019;645;4210;21750;420;9315
20/09/2019;645;4290;22000;420;9230
23/09/2019;650;4250;22100;404;9460
24/09/2019;640;4210;21200;400;9455
25/09/2019;635;4220;21125;400;9400
26/09/2019;640;4360;20850;406;9350
27/09/2019;640;4310;20475;400;9400
30/09/2019;630;4310;20575;398;9300
01/10/2019;630;4250;20550;400;9240
02/10/2019;615;4200;20200;396;9090
03/10/2019;615;4200;20200;400;9015
04/10/2019;600;4190;20200;394;9085
07/10/2019;605;4110;20400;390;8800
08/10/2019;610;4090;20225;386;8945
09/10/2019;600;4120;20050;386;8840
10/10/2019;610;4110;20150;386;8775
11/10/2019;620;4170;20325;380;8835
14/10/2019;625;4190;20625;376;8900
15/10/2019;625;4170;20900;380;8950
16/10/2019;625;4170;20350;376;9120
17/10/2019;630;4170;20375;374;8950
18/10/2019;635;4190;20850;368;8625
21/10/2019;640;4200;20775;362;8685
22/10/2019;635;4230;21500;352;8790
23/10/2019;625;4260;21625;358;8855
24/10/2019;675;4350;21925;354;8855
25/10/2019;650;4280;21200;342;8630
28/10/2019;645;4260;21450;336;8700
29/10/2019;645;4330;21325;334;8715
30/10/2019;650;4270;21700;326;8720
31/10/2019;640;4110;21675;320;8745
01/11/2019;630;4080;21500;326;8740
04/11/2019;620;4150;21575;338;8605
05/11/2019;620;4200;23250;338;8770
06/11/2019;625;4120;22850;338;8690
07/11/2019;625;4070;22050;350;8670
08/11/2019;625;4110;23275;352;8630
11/11/2019;600;4100;23325;348;8655
12/11/2019;615;4180;23800;350;8640
13/11/2019;610;4150;23225;338;8465
14/11/2019;605;4050;22425;340;8560
15/11/2019;610;4080;22375;338;8445
18/11/2019;610;4000;21900;334;8430
19/11/2019;625;4020;22450;328;8560
20/11/2019;610;4090;22675;344;8510
21/11/2019;605;4020;22100;322;8405
22/11/2019;600;4050;22750;324;8430
25/11/2019;605;3950;22350;322;8415
26/11/2019;600;3860;21375;320;8300
27/11/2019;595;3880;21600;312;8200
28/11/2019;580;3820;20900;298;8360
29/11/2019;585;3930;20925;276;8360
02/12/2019;590;3950;21725;290;8570
03/12/2019;600;3920;21150;284;8535
04/12/2019;595;3990;20700;280;8400
05/12/2019;600;4060;20800;274;8430
06/12/2019;600;4100;21325;282;8450
09/12/2019;600;4070;21350;282;8455
10/12/2019;600;4040;21300;274;8435
11/12/2019;595;4050;20800;282;8420
12/12/2019;590;3950;20450;282;8200
